model_id,embedding_family,embedding,model,beta,accuracy,precision,recall,f_1.0,f_0.7,f_0.5,f_0.3,TN,TP,FP,FN,confusion_matrix,score_type,model_path
CM037,clinical-modernbert,clinical-modernbert_mean,LogisticRegression,1.0,0.6842105263157895,0.5051546391752577,0.6712328767123288,0.5764705882352941,,,,107,49,48,24,"[[107, 48], [24, 49]]",,
CM038,clinical-modernbert,clinical-modernbert_mean,RidgeClassifier,1.0,0.7017543859649122,0.5352112676056338,0.5205479452054794,0.5277777777777778,,,,122,38,33,35,"[[122, 33], [35, 38]]",,
CM039,clinical-modernbert,clinical-modernbert_mean,LDA,1.0,0.5745614035087719,0.375,0.4931506849315068,0.4260355029585799,,,,95,36,60,37,"[[95, 60], [37, 36]]",,
CM040,clinical-modernbert,clinical-modernbert_mean,SVM,1.0,0.7456140350877193,0.6229508196721312,0.5205479452054794,0.5671641791044776,,,,132,38,23,35,"[[132, 23], [35, 38]]",,
CM041,clinical-modernbert,clinical-modernbert_mean,KNN,1.0,0.7719298245614035,0.6615384615384615,0.589041095890411,0.6231884057971014,,,,133,43,22,30,"[[133, 22], [30, 43]]",,
CM042,clinical-modernbert,clinical-modernbert_mean,MLPClassifier,1.0,0.6798245614035088,0.5,0.6164383561643836,0.5521472392638037,,,,110,45,45,28,"[[110, 45], [28, 45]]",,
CM043,clinical-modernbert,clinical-modernbert_mean,DecisionTree,1.0,0.618421052631579,0.4166666666666667,0.4794520547945205,0.445859872611465,,,,106,35,49,38,"[[106, 49], [38, 35]]",,
CM044,clinical-modernbert,clinical-modernbert_mean,RandomForest,1.0,0.7587719298245614,0.7045454545454546,0.4246575342465753,0.5299145299145299,,,,142,31,13,42,"[[142, 13], [42, 31]]",,
CM045,clinical-modernbert,clinical-modernbert_mean,XGBoost,1.0,0.7719298245614035,0.7142857142857143,0.4794520547945205,0.5737704918032787,,,,141,35,14,38,"[[141, 14], [38, 35]]",,
CM046,clinical-modernbert,clinical-modernbert_mean,LogisticRegression,0.5,0.7412280701754386,0.6521739130434783,0.410958904109589,0.5042016806722689,,0.5836575875486382,,139,30,16,43,"[[139, 16], [43, 30]]",,
CM047,clinical-modernbert,clinical-modernbert_mean,RidgeClassifier,0.5,0.7324561403508771,0.6,0.4931506849315068,0.5413533834586466,,0.5750798722044729,,131,36,24,37,"[[131, 24], [37, 36]]",,
CM048,clinical-modernbert,clinical-modernbert_mean,LDA,0.5,0.5745614035087719,0.375,0.4931506849315068,0.4260355029585799,,0.3938730853391685,,95,36,60,37,"[[95, 60], [37, 36]]",,
CM049,clinical-modernbert,clinical-modernbert_mean,SVM,0.5,0.7719298245614035,0.7560975609756098,0.4246575342465753,0.543859649122807,,0.6540084388185654,,145,31,10,42,"[[145, 10], [42, 31]]",,
CM050,clinical-modernbert,clinical-modernbert_mean,KNN,0.5,0.7763157894736842,0.6896551724137931,0.547945205479452,0.6106870229007634,,0.6557377049180327,,137,40,18,33,"[[137, 18], [33, 40]]",,
CM051,clinical-modernbert,clinical-modernbert_mean,MLPClassifier,0.5,0.6710526315789473,0.4868421052631579,0.5068493150684932,0.4966442953020134,,0.4907161803713528,,116,37,39,36,"[[116, 39], [36, 37]]",,
CM052,clinical-modernbert,clinical-modernbert_mean,DecisionTree,0.5,0.6271929824561403,0.4166666666666667,0.410958904109589,0.4137931034482758,,0.4155124653739612,,113,30,42,43,"[[113, 42], [43, 30]]",,
CM053,clinical-modernbert,clinical-modernbert_mean,RandomForest,0.5,0.7412280701754386,0.675,0.3698630136986301,0.4778761061946903,,0.5793991416309013,,142,27,13,46,"[[142, 13], [46, 27]]",,
CM054,clinical-modernbert,clinical-modernbert_mean,XGBoost,0.5,0.7412280701754386,0.6206896551724138,0.4931506849315068,0.549618320610687,,0.5901639344262295,,133,36,22,37,"[[133, 22], [37, 36]]",,
CM055,clinical-modernbert,clinical-modernbert_mean_pca,LogisticRegression,1.0,0.6885964912280702,0.5108695652173914,0.6438356164383562,0.5696969696969697,,,,110,47,45,26,"[[110, 45], [26, 47]]",,
CM056,clinical-modernbert,clinical-modernbert_mean_pca,RidgeClassifier,1.0,0.7324561403508771,0.5769230769230769,0.6164383561643836,0.5960264900662252,,,,122,45,33,28,"[[122, 33], [28, 45]]",,
CM057,clinical-modernbert,clinical-modernbert_mean_pca,LDA,1.0,0.75,0.6176470588235294,0.5753424657534246,0.5957446808510638,,,,129,42,26,31,"[[129, 26], [31, 42]]",,
CM058,clinical-modernbert,clinical-modernbert_mean_pca,SVM,1.0,0.706140350877193,0.5384615384615384,0.5753424657534246,0.5562913907284768,,,,119,42,36,31,"[[119, 36], [31, 42]]",,
CM059,clinical-modernbert,clinical-modernbert_mean_pca,KNN,1.0,0.6447368421052632,0.4523809523809524,0.5205479452054794,0.4840764331210191,,,,109,38,46,35,"[[109, 46], [35, 38]]",,
CM060,clinical-modernbert,clinical-modernbert_mean_pca,MLPClassifier,1.0,0.7456140350877193,0.6119402985074627,0.5616438356164384,0.5857142857142857,,,,129,41,26,32,"[[129, 26], [32, 41]]",,
CM061,clinical-modernbert,clinical-modernbert_mean_pca,DecisionTree,1.0,0.5964912280701754,0.417391304347826,0.6575342465753424,0.5106382978723404,,,,88,48,67,25,"[[88, 67], [25, 48]]",,
CM062,clinical-modernbert,clinical-modernbert_mean_pca,RandomForest,1.0,0.75,0.6212121212121212,0.5616438356164384,0.5899280575539568,,,,130,41,25,32,"[[130, 25], [32, 41]]",,
CM063,clinical-modernbert,clinical-modernbert_mean_pca,XGBoost,1.0,0.7324561403508771,0.6428571428571429,0.3698630136986301,0.4695652173913043,,,,140,27,15,46,"[[140, 15], [46, 27]]",,
CM064,clinical-modernbert,clinical-modernbert_mean_pca,LogisticRegression,0.5,0.7587719298245614,0.6875,0.4520547945205479,0.5454545454545454,,0.6226415094339622,,140,33,15,40,"[[140, 15], [40, 33]]",,
CM065,clinical-modernbert,clinical-modernbert_mean_pca,RidgeClassifier,0.5,0.7456140350877193,0.6190476190476191,0.5342465753424658,0.5735294117647058,,0.6,,131,39,24,34,"[[131, 24], [34, 39]]",,
CM066,clinical-modernbert,clinical-modernbert_mean_pca,LDA,0.5,0.75,0.6176470588235294,0.5753424657534246,0.5957446808510638,,0.6086956521739131,,129,42,26,31,"[[129, 26], [31, 42]]",,
